Id,Category
812,0
813,1
814,0
815,0
816,1
817,0
818,1
819,0
820,0
821,1
822,1
823,0
824,0
825,0
826,1
827,0
828,0
829,0
830,0
831,0
832,0
833,1
834,0
835,1
836,1
837,0
838,1
839,1
840,0
841,0
842,0
843,1
844,1
845,1
846,1
847,0
848,0
849,0
850,0
851,0
852,0
853,0
854,0
855,1
856,0
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,0
866,1
867,0
868,0
869,0
870,0
871,0
872,0
873,0
874,0
875,0
876,0
877,1
878,0
879,1
880,0
881,1
882,0
883,0
884,0
885,1
886,0
887,0
888,1
889,0
890,1
891,1
892,1
893,0
894,1
895,0
896,1
897,0
898,0
899,1
900,0
901,1
902,0
903,0
904,0
905,0
906,1
907,0
908,0
909,0
910,0
911,0
912,0
913,0
914,0
915,0
916,1
917,0
918,0
919,0
920,1
921,0
922,0
923,0
924,0
925,1
926,0
927,0
928,0
929,0
930,0
931,0
932,0
933,0
934,1
935,0
936,0
937,1
938,1
939,0
940,0
941,0
942,1
943,0
944,1
945,0
946,1
947,0
948,0
949,0
950,0
951,0
952,0
953,0
954,0
955,0
956,1
957,0
958,0
959,1
960,0
961,0
962,0
963,0
964,0
965,0
966,0
967,1
968,0
969,1
970,1
971,0
972,0
973,0
974,0
975,1
976,1
977,0
978,0
979,0
980,0
981,0
982,0
983,0
984,1
985,0
986,0
987,1
988,0
989,0
990,0
991,0
992,0
993,0
994,0
995,0
996,1
997,0
998,0
999,0
